,top_turnover,bottom_turnover
2021-01-01,0.0,0.0
2021-01-02,0.04761904761904762,0.047619047619047616
2021-01-03,0.04761904761904762,0.047619047619047616
2021-01-04,0.04761904761904762,0.047619047619047616
2021-01-05,0.04761904761904762,0.047619047619047616
2021-01-06,0.0476190476190476,0.047619047619047616
2021-01-07,0.047619047619047644,0.047619047619047616
2021-01-08,0.047619047619047644,0.047619047619047616
2021-01-09,0.0476190476190476,0.047619047619047616
2021-01-10,0.047619047619047596,0.047619047619047616
2021-01-11,0.047619047619047596,0.047619047619047616
2021-01-12,0.04761904761904765,0.04761904761904766
2021-01-13,0.047619047619047644,0.047619047619047575
2021-01-14,0.0476190476190476,0.047619047619047644
2021-01-15,0.047619047619047686,0.0476190476190476
2021-01-16,0.04761904761904754,0.047619047619047616
2021-01-17,0.047619047619047665,0.047619047619047616
2021-01-18,0.04761904761904761,0.047619047619047616
2021-01-19,0.04761904761904757,0.04761904761904763
2021-01-20,0.047619047619047686,0.0476190476190476
2021-01-21,0.04761904761904756,0.04761904761904763
2021-01-22,0.047619047619047686,0.0476190476190476
2021-01-23,0.05714285714285714,0.023809523809523794
2021-01-24,0.05714285714285709,0.023809523809523822
2021-01-25,0.057142857142857155,0.023809523809523822
2021-01-26,0.0380952380952381,0.047619047619047616
2021-01-27,0.038095238095238106,0.047619047619047616
2021-01-28,0.0380952380952381,0.047619047619047616
2021-01-29,0.03809523809523813,0.047619047619047616
2021-01-30,0.0380952380952381,0.047619047619047616
2021-01-31,0.03809523809523807,0.047619047619047616
2021-02-01,0.03809523809523812,0.07142857142857144
2021-02-02,0.03809523809523809,0.07142857142857141
2021-02-03,0.03809523809523811,0.07142857142857144
2021-02-04,0.03809523809523808,0.07142857142857142
2021-02-05,0.03809523809523815,0.09523809523809526
2021-02-06,0.038095238095238126,0.07142857142857142
2021-02-07,0.03809523809523806,0.07142857142857144
2021-02-08,0.038095238095238126,0.04761904761904759
2021-02-09,0.057142857142857106,0.047619047619047644
2021-02-10,0.05714285714285717,0.04761904761904759
2021-02-11,0.0380952380952381,0.047619047619047644
2021-02-12,0.03809523809523809,0.04761904761904759
2021-02-13,0.03809523809523809,0.047619047619047644
2021-02-14,0.038095238095238106,0.0476190476190476
2021-02-15,0.01904761904761905,0.04761904761904763
2021-02-16,0.01904761904761905,0.047619047619047616
2021-02-17,0.01904761904761903,0.047619047619047616
2021-02-18,0.019047619047619084,0.023809523809523822
2021-02-19,0.019047619047619042,0.023809523809523794
2021-02-20,0.019047619047619008,0.023809523809523822
2021-02-21,0.019047619047619063,0.023809523809523794
2021-02-22,0.019047619047619063,0.023809523809523822
2021-02-23,0.019047619047619063,0.023809523809523794
2021-02-24,0.019047619047619035,0.023809523809523822
2021-02-25,0.01904761904761902,0.023809523809523822
2021-02-26,0.019047619047619063,0.0
2021-02-27,0.01904761904761905,0.0
2021-02-28,0.01904761904761902,0.0
2021-03-01,0.01904761904761909,0.0
2021-03-02,0.019047619047619035,0.0
2021-03-03,0.01904761904761905,0.0
2021-03-04,0.019047619047619035,0.019047619047619015
2021-03-05,0.019047619047619035,0.019047619047619015
2021-03-06,0.019047619047619077,0.019047619047619237
2021-03-07,0.01904761904761905,0.019047619047619015
2021-03-08,0.019047619047619063,0.019047619047619008
2021-03-09,0.019047619047619035,0.01904761904761902
2021-03-10,0.03809523809523808,0.01904761904761902
2021-03-11,0.03809523809523812,0.01904761904761912
2021-03-12,0.015873015873015844,0.019047619047619008
2021-03-13,0.015873015873015858,0.019047619047619008
2021-03-14,0.015873015873015955,0.01904761904761902
2021-03-15,0.015873015873015914,0.01904761904761902
2021-03-16,0.031746031746031786,0.019047619047619008
2021-03-17,0.031746031746031717,0.019047619047619258
2021-03-18,0.031746031746031717,0.019047619047619015
2021-03-19,0.031746031746031717,0.03809523809523802
2021-03-20,0.03174603174603176,0.038095238095238106
2021-03-21,0.031746031746031717,0.03809523809523805
2021-03-22,0.03174603174603171,0.038095238095238154
2021-03-23,0.04761904761904762,0.038095238095238085
2021-03-24,0.04761904761904766,0.03809523809523806
2021-03-25,0.031746031746031786,0.019047619047619035
2021-03-26,0.0317460317460317,0.019047619047619042
2021-03-27,0.031746031746031786,0.019047619047619056
2021-03-28,0.015873015873015893,0.019047619047619042
2021-03-29,0.01587301587301588,0.019047619047619056
2021-03-30,0.0158730158730159,0.019047619047619035
2021-03-31,0.015873015873015858,0.01904761904761905
2021-04-01,0.015873015873015844,0.03809523809523806
2021-04-02,0.015873015873015886,0.05714285714285714
2021-04-03,0.015873015873015893,0.05714285714285716
2021-04-04,0.01587301587301585,0.038095238095238085
2021-04-05,0.015873015873015886,0.038095238095238106
2021-04-06,0.015873015873015886,0.05714285714285714
2021-04-07,0.03174603174603173,0.038095238095238106
2021-04-08,0.031746031746031744,0.03809523809523809
2021-04-09,0.03174603174603173,0.03809523809523807
2021-04-10,0.03174603174603176,0.01904761904761909
2021-04-11,0.03174603174603175,0.01904761904761909
2021-04-12,0.015873015873015872,0.019047619047619063
2021-04-13,0.031746031746031744,0.019047619047619035
2021-04-14,0.047619047619047616,0.03809523809523813
2021-04-15,0.047619047619047616,0.03809523809523808
2021-04-16,0.047619047619047616,0.05714285714285717
2021-04-17,0.047619047619047616,0.05714285714285714
2021-04-18,0.031746031746031744,0.05714285714285717
2021-04-19,0.03174603174603175,0.0571428571428571
2021-04-20,0.03174603174603175,0.05714285714285717
2021-04-21,0.03174603174603172,0.057142857142857155
2021-04-22,0.03174603174603175,0.03809523809523807
2021-04-23,0.03174603174603176,0.03809523809523812
2021-04-24,0.03174603174603173,0.019047619047619105
2021-04-25,0.031746031746031744,0.057142857142857155
2021-04-26,0.03174603174603173,0.05714285714285714
2021-04-27,0.031746031746031765,0.03809523809523812
2021-04-28,0.03174603174603172,0.0380952380952381
2021-04-29,0.031746031746031765,0.038095238095238085
2021-04-30,0.03174603174603174,0.04761904761904758
2021-05-01,0.031746031746031744,0.031746031746031744
2021-05-02,0.031746031746031744,0.03174603174603176
2021-05-03,0.015873015873015876,0.03174603174603186
2021-05-04,0.01587301587301588,0.0476190476190476
2021-05-05,0.015873015873015893,0.03174603174603178
2021-05-06,0.0158730158730159,0.03174603174603165
2021-05-07,0.015873015873015872,0.0317460317460318
2021-05-08,0.015873015873015872,0.031746031746031717
2021-05-09,0.015873015873015872,0.031746031746031717
2021-05-10,0.04761904761904761,0.031746031746031744
2021-05-11,0.015873015873015907,0.031746031746031786
2021-05-12,0.0158730158730159,0.03174603174603173
2021-05-13,0.015873015873015872,0.031746031746031744
2021-05-14,0.015873015873015907,0.03174603174603179
2021-05-15,0.015873015873015893,0.031746031746031696
2021-05-16,0.015873015873015872,0.06349206349206352
2021-05-17,0.015873015873015886,0.06349206349206354
2021-05-18,0.015873015873015914,0.04761904761904756
2021-05-19,0.027210884353741516,0.031746031746031786
2021-05-20,0.02721088435374144,0.03174603174603176
2021-05-21,0.027210884353741548,0.031746031746031717
2021-05-22,0.013605442176870756,0.03174603174603175
2021-05-23,0.013605442176870697,0.031746031746031765
2021-05-24,0.027210884353741544,0.03174603174603177
2021-05-25,0.027210884353741496,0.01587301587301588
2021-05-26,0.027210884353741464,0.01587301587301588
2021-05-27,0.013605442176870729,0.015873015873015858
2021-05-28,0.01360544217687084,0.015873015873015872
2021-05-29,0.013605442176870782,0.015873015873015872
2021-05-30,0.027210884353741423,0.015873015873015872
2021-05-31,0.040816326530612276,0.015873015873015872
2021-06-01,0.027210884353741492,0.015873015873015858
2021-06-02,0.027210884353741492,0.01587301587301588
2021-06-03,0.027210884353741437,0.01587301587301588
2021-06-04,0.02721088435374152,0.015873015873015872
2021-06-05,0.027210884353741506,0.01587301587301588
2021-06-06,0.027210884353741464,0.04761904761904758
2021-06-07,0.02721088435374159,0.047619047619047644
2021-06-08,0.027210884353741464,0.031746031746031744
2021-06-09,0.013605442176870739,0.015873015873015844
2021-06-10,0.01360544217687075,0.0158730158730159
2021-06-11,0.01360544217687077,0.0
2021-06-12,0.0,0.0
2021-06-13,2.7755575615628914e-17,0.0158730158730159
2021-06-14,0.0,0.015873015873015893
2021-06-15,0.013605442176870743,0.03174603174603175
2021-06-16,0.0,0.015873015873015872
2021-06-17,0.013605442176870756,0.031746031746031744
2021-06-18,0.0,0.03174603174603176
2021-06-19,0.013605442176870756,0.031746031746031744
2021-06-20,0.013605442176870739,0.03174603174603173
2021-06-21,0.01360544217687075,0.047619047619047616
2021-06-22,0.01360544217687075,0.04761904761904761
2021-06-23,0.01360544217687075,0.04761904761904764
2021-06-24,0.013605442176870748,0.047619047619047596
2021-06-25,0.01360544217687075,0.03174603174603174
2021-06-26,0.01360544217687075,0.031746031746031765
2021-06-27,0.013605442176870743,0.04761904761904761
2021-06-28,0.0,0.047619047619047596
2021-06-29,1.3877787807814457e-17,0.03174603174603175
2021-06-30,1.3877787807814457e-17,0.04761904761904761
2021-07-01,0.0,0.031746031746031765
2021-07-02,0.0,0.03174603174603173
2021-07-03,0.0,0.03174603174603177
2021-07-04,1.3877787807814457e-17,0.0476190476190476
2021-07-05,1.3877787807814457e-17,0.0476190476190476
2021-07-06,0.0,0.06349206349206347
2021-07-07,0.0,0.047619047619047644
2021-07-08,0.013605442176870743,0.04761904761904761
2021-07-09,0.01360544217687077,0.03174603174603175
2021-07-10,0.04081632653061228,0.031746031746031834
2021-07-11,0.040816326530612256,0.031746031746031765
2021-07-12,0.040816326530612235,0.015873015873015844
2021-07-13,0.04081632653061224,0.015873015873015928
2021-07-14,0.040816326530612235,0.0158730158730159
2021-07-15,0.05442176870748296,0.015873015873015886
2021-07-16,0.05442176870748302,0.031746031746031744
2021-07-17,0.05442176870748301,0.031746031746031786
2021-07-18,0.05442176870748296,0.031746031746031744
2021-07-19,0.054421768707483005,0.031746031746031786
2021-07-20,0.054421768707482984,0.031746031746031717
2021-07-21,0.05442176870748298,0.031746031746031744
2021-07-22,0.06802721088435373,0.01587301587301588
2021-07-23,0.054421768707483026,0.015873015873015865
2021-07-24,0.04081632653061225,0.015873015873015872
2021-07-25,0.040816326530612235,0.015873015873015872
2021-07-26,0.040816326530612235,0.015873015873015865
2021-07-27,0.04081632653061226,0.015873015873015893
2021-07-28,0.04081632653061224,0.015873015873015872
2021-07-29,0.04081632653061224,0.015873015873015872
2021-07-30,0.027210884353741513,0.015873015873015872
2021-07-31,0.013605442176870777,0.015873015873015872
2021-08-01,0.01360544217687075,0.015873015873015872
2021-08-02,0.013605442176870791,0.015873015873015865
2021-08-03,0.013605442176870777,0.03174603174603175
2021-08-04,0.027210884353741492,0.031746031746031744
2021-08-05,0.027210884353741478,0.03174603174603178
2021-08-06,0.027210884353741492,0.031746031746031765
2021-08-07,0.027210884353741513,0.031746031746031744
2021-08-08,0.01360544217687075,0.03174603174603177
2021-08-09,0.027210884353741503,0.031746031746031765
2021-08-10,0.01360544217687077,0.01587301587301588
2021-08-11,0.01360544217687077,0.015873015873015872
2021-08-12,0.01360544217687075,0.015873015873015872
2021-08-13,0.01360544217687075,0.015873015873015886
2021-08-14,0.01360544217687075,0.015873015873015886
2021-08-15,0.013605442176870743,0.015873015873015886
2021-08-16,0.01360544217687075,0.015873015873015858
2021-08-17,6.938893903907228e-18,0.0158730158730159
2021-08-18,2.0816681711721685e-17,0.015873015873015872
2021-08-19,0.013605442176870743,0.015873015873015886
2021-08-20,2.0816681711721685e-17,0.015873015873015858
2021-08-21,6.938893903907228e-18,0.031746031746031744
2021-08-22,0.013605442176870729,0.031746031746031786
2021-08-23,0.013605442176870777,0.015873015873015872
2021-08-24,0.013605442176870756,0.031746031746031744
2021-08-25,0.02721088435374147,0.031746031746031814
2021-08-26,0.013605442176870777,0.03174603174603179
2021-08-27,0.013605442176870736,0.03174603174603174
2021-08-28,0.01360544217687075,0.03174603174603177
2021-08-29,0.013605442176870763,0.03174603174603176
2021-08-30,0.013605442176870753,0.031746031746031765
2021-08-31,0.013605442176870756,0.03174603174603175
2021-09-01,0.013605442176870736,0.03174603174603175
2021-09-02,0.013605442176870763,0.03174603174603174
2021-09-03,0.013605442176870756,0.03174603174603174
2021-09-04,0.013605442176870769,0.03174603174603175
2021-09-05,0.013605442176870756,0.031746031746031744
2021-09-06,0.013605442176870743,0.031746031746031744
2021-09-07,0.01360544217687075,0.047619047619047616
2021-09-08,0.013605442176870756,0.04761904761904763
2021-09-09,0.013605442176870756,0.06349206349206349
2021-09-10,0.013605442176870743,0.06349206349206346
2021-09-11,0.013605442176870739,0.0634920634920635
2021-09-12,0.013605442176870743,0.04761904761904763
2021-09-13,0.013605442176870769,0.04761904761904761
2021-09-14,0.013605442176870756,0.06349206349206349
2021-09-15,0.013605442176870729,0.06349206349206346
2021-09-16,0.0,0.06349206349206352
2021-09-17,0.0,0.06349206349206349
2021-09-18,0.0,0.047619047619047616
2021-09-19,0.0,0.047619047619047616
2021-09-20,0.0,0.04761904761904762
2021-09-21,0.0,0.047619047619047596
2021-09-22,0.0,0.06349206349206347
2021-09-23,0.0,0.06349206349206352
2021-09-24,0.0,0.0476190476190476
2021-09-25,0.0,0.04761904761904764
2021-09-26,0.0,0.06349206349206349
2021-09-27,0.0,0.047619047619047616
2021-09-28,0.0,0.047619047619047616
2021-09-29,0.0,0.03174603174603176
2021-09-30,0.0,0.015873015873015872
2021-10-01,0.0,0.015873015873015872
2021-10-02,0.0,0.01587301587301585
2021-10-03,0.0,0.01587301587301588
2021-10-04,0.0,0.015873015873015872
2021-10-05,0.0,0.015873015873015872
2021-10-06,0.0,0.015873015873015872
2021-10-07,0.0,0.027210884353741555
2021-10-08,0.0,0.027210884353741457
2021-10-09,0.0,0.027210884353741506
2021-10-10,0.0,0.02721088435374145
2021-10-11,0.0,0.027210884353741516
2021-10-12,0.0,0.02721088435374149
2021-10-13,0.0,0.040816326530612235
2021-10-14,0.0,0.040816326530612235
2021-10-15,0.0,0.04081632653061226
2021-10-16,0.0,0.04081632653061227
2021-10-17,0.0,0.027210884353741513
2021-10-18,0.0,0.0272108843537415
2021-10-19,0.0,0.027210884353741485
2021-10-20,0.0,0.0272108843537415
2021-10-21,0.0,0.0272108843537415
2021-10-22,0.0,0.013605442176870722
2021-10-23,0.0,0.013605442176870666
2021-10-24,0.013605442176870756,0.013605442176870805
2021-10-25,0.013605442176870756,0.013605442176870694
2021-10-26,0.01360544217687074,0.013605442176870874
2021-10-27,0.013605442176870743,0.013605442176870708
2021-10-28,0.023809523809523805,0.0
2021-10-29,0.023809523809523732,0.0
2021-10-30,0.023809523809523878,0.0
2021-10-31,0.023809523809523753,0.0
2021-11-01,0.02380952380952389,0.013605442176870756
2021-11-02,0.023809523809523836,0.013605442176870756
2021-11-03,0.023809523809523635,0.013605442176870743
2021-11-04,0.02380952380952396,0.013605442176870743
2021-11-05,0.023809523809523746,0.01360544217687074
2021-11-06,0.011904761904761973,0.0272108843537415
2021-11-07,0.011904761904761842,0.02721088435374148
2021-11-08,0.01190476190476198,0.027210884353741527
2021-11-09,0.011904761904761814,0.027210884353741485
2021-11-10,0.011904761904761849,0.02721088435374148
2021-11-11,0.02380952380952389,0.027210884353741478
2021-11-12,0.023809523809523746,0.02721088435374152
2021-11-13,0.023809523809523933,0.027210884353741492
2021-11-14,0.011904761904761745,0.013605442176870736
2021-11-15,0.011904761904761911,0.027210884353741513
2021-11-16,0.01190476190476182,0.0272108843537415
2021-11-17,0.011904761904762015,0.013605442176870762
2021-11-18,0.0,0.027210884353741485
2021-11-19,0.0,0.027210884353741534
2021-11-20,0.0,0.027210884353741485
2021-11-21,0.0,0.027210884353741506
2021-11-22,0.011904761904761897,0.0272108843537415
2021-11-23,0.0,0.013605442176870743
2021-11-24,0.011904761904761911,0.01360544217687075
2021-11-25,0.011904761904761904,0.013605442176870763
2021-11-26,0.011904761904761904,0.01360544217687077
2021-11-27,0.011904761904761897,0.027210884353741492
2021-11-28,0.011904761904761911,0.05442176870748298
2021-11-29,0.023809523809523815,0.040816326530612276
2021-11-30,0.0238095238095238,0.027210884353741503
2021-12-01,0.011904761904761904,0.05442176870748298
2021-12-02,0.023809523809523815,0.040816326530612235
2021-12-03,0.011904761904761904,0.027210884353741478
2021-12-04,0.011904761904761897,0.040816326530612256
2021-12-05,0.011904761904761904,0.02721088435374152
2021-12-06,0.011904761904761904,0.027210884353741527
2021-12-07,0.011904761904761911,0.02721088435374149
2021-12-08,0.011904761904761897,6.938893903907228e-18
2021-12-09,0.0,0.013605442176870777
2021-12-10,0.0,0.013605442176870743
2021-12-11,0.0,0.01360544217687075
2021-12-12,0.0,0.013605442176870777
2021-12-13,0.011904761904761911,0.013605442176870748
2021-12-14,0.0,0.013605442176870746
2021-12-15,0.011904761904761897,0.013605442176870746
2021-12-16,0.011904761904761911,0.01360544217687075
2021-12-17,0.011904761904761904,0.013605442176870776
2021-12-18,0.023809523809523815,0.01360544217687075
2021-12-19,0.0238095238095238,0.0272108843537415
2021-12-20,0.03571428571428571,0.027210884353741506
2021-12-21,0.03571428571428571,0.027210884353741506
2021-12-22,0.023809523809523822,0.040816326530612214
2021-12-23,0.0238095238095238,0.027210884353741492
2021-12-24,0.03571428571428572,0.01360544217687075
2021-12-25,0.023809523809523808,0.02721088435374152
2021-12-26,0.023809523809523808,0.013605442176870722
2021-12-27,0.023809523809523815,0.013605442176870736
2021-12-28,0.023809523809523815,0.01360544217687075
2021-12-29,0.011904761904761911,0.013605442176870736
2021-12-30,0.011904761904761897,0.01360544217687075
2021-12-31,0.011904761904761911,0.01360544217687077
2022-01-01,0.011904761904761897,0.013605442176870736
2022-01-02,0.011904761904761911,0.013605442176870756
2022-01-03,0.011904761904761897,0.0
2022-01-04,0.011904761904761904,0.0
2022-01-05,0.011904761904761904,0.01360544217687075
2022-01-06,0.011904761904761904,0.01360544217687075
2022-01-07,0.0238095238095238,6.938893903907228e-18
2022-01-08,0.011904761904761918,6.938893903907228e-18
2022-01-09,0.011904761904761897,6.938893903907228e-18
2022-01-10,0.011904761904761911,0.027210884353741485
2022-01-11,0.011904761904761897,0.013605442176870756
2022-01-12,0.011904761904761911,0.013605442176870769
2022-01-13,0.011904761904761897,0.013605442176870756
2022-01-14,0.011904761904761911,0.0
2022-01-15,0.011904761904761897,0.0
2022-01-16,0.011904761904761911,2.7755575615628914e-17
2022-01-17,0.011904761904761897,0.013605442176870763
2022-01-18,0.011904761904761911,0.013605442176870743
2022-01-19,0.011904761904761911,0.013605442176870743
2022-01-20,0.011904761904761897,0.013605442176870784
2022-01-21,0.011904761904761911,0.013605442176870743
2022-01-22,0.011904761904761897,0.013605442176870743
2022-01-23,0.011904761904761911,0.01360544217687075
2022-01-24,0.011904761904761897,2.7755575615628914e-17
2022-01-25,0.023809523809523808,1.3877787807814457e-17
2022-01-26,0.023809523809523808,0.01360544217687076
2022-01-27,0.03571428571428572,0.013605442176870753
2022-01-28,0.035714285714285705,0.013605442176870725
2022-01-29,0.02380952380952383,0.01360544217687077
2022-01-30,0.01190476190476189,2.7755575615628914e-17
2022-01-31,0.011904761904761918,0.013605442176870756
2022-02-01,0.01190476190476189,0.013605442176870767
2022-02-02,0.011904761904761918,6.938893903907228e-18
2022-02-03,0.01190476190476189,6.938893903907228e-18
2022-02-04,0.011904761904761918,0.027210884353741496
2022-02-05,0.01190476190476189,0.027210884353741485
2022-02-06,0.011904761904761911,0.027210884353741492
2022-02-07,0.011904761904761904,0.027210884353741492
2022-02-08,0.011904761904761904,0.027210884353741496
2022-02-09,0.023809523809523808,0.02721088435374152
2022-02-10,0.023809523809523808,0.027210884353741478
2022-02-11,0.023809523809523808,0.027210884353741485
2022-02-12,0.023809523809523808,0.027210884353741513
2022-02-13,0.023809523809523808,0.027210884353741527
2022-02-14,0.023809523809523808,0.027210884353741485
2022-02-15,0.023809523809523808,0.0272108843537415
2022-02-16,0.023809523809523815,0.02721088435374149
2022-02-17,0.023809523809523808,0.0272108843537415
2022-02-18,0.023809523809523808,0.013605442176870777
2022-02-19,0.023809523809523808,0.027210884353741485
2022-02-20,0.011904761904761911,0.04081632653061226
2022-02-21,0.011904761904761897,0.0272108843537415
2022-02-22,0.011904761904761911,0.040816326530612214
2022-02-23,0.011904761904761897,0.027210884353741496
2022-02-24,0.011904761904761911,0.0272108843537415
2022-02-25,0.011904761904761897,0.01360544217687075
2022-02-26,0.011904761904761911,0.01360544217687075
2022-02-27,0.0,0.013605442176870739
2022-02-28,0.0,0.01360544217687075
2022-03-01,0.0,0.013605442176870763
2022-03-02,0.011904761904761911,0.01360544217687075
2022-03-03,0.023809523809523808,0.013605442176870736
2022-03-04,0.023809523809523808,0.027210884353741506
2022-03-05,0.023809523809523808,0.027210884353741492
2022-03-06,0.023809523809523808,0.027210884353741485
2022-03-07,0.03571428571428572,0.0272108843537415
2022-03-08,0.035714285714285705,0.0272108843537415
2022-03-09,0.04761904761904763,0.027210884353741478
2022-03-10,0.0476190476190476,0.027210884353741513
2022-03-11,0.04761904761904763,0.027210884353741506
2022-03-12,0.04761904761904761,0.013605442176870743
2022-03-13,0.04761904761904764,0.013605442176870736
2022-03-14,0.0476190476190476,0.013605442176870756
2022-03-15,0.035714285714285726,0.01360544217687075
2022-03-16,0.0357142857142857,0.01360544217687075
2022-03-17,0.035714285714285726,0.027210884353741475
2022-03-18,0.035714285714285705,0.027210884353741506
2022-03-19,0.03571428571428572,0.027210884353741513
2022-03-20,0.023809523809523808,0.027210884353741492
2022-03-21,0.023809523809523808,0.027210884353741485
2022-03-22,0.023809523809523808,0.027210884353741485
2022-03-23,0.011904761904761904,0.027210884353741513
2022-03-24,0.03571428571428571,0.0272108843537415
2022-03-25,0.03571428571428572,0.02721088435374147
2022-03-26,0.035714285714285705,0.027210884353741513
2022-03-27,0.035714285714285726,0.027210884353741513
2022-03-28,0.0476190476190476,0.027210884353741485
2022-03-29,0.04761904761904763,0.02721088435374147
2022-03-30,0.059523809523809514,0.013605442176870756
2022-03-31,0.04761904761904763,0.013605442176870756
2022-04-01,0.0476190476190476,0.013605442176870743
2022-04-02,0.04761904761904763,0.02721088435374151
2022-04-03,0.047619047619047616,0.027210884353741513
2022-04-04,0.059523809523809514,0.02721088435374148
2022-04-05,0.04761904761904763,0.027210884353741485
2022-04-06,0.04761904761904761,0.02721088435374149
2022-04-07,0.04761904761904763,0.040816326530612235
2022-04-08,0.04761904761904761,0.040816326530612256
2022-04-09,0.059523809523809534,0.040816326530612276
2022-04-10,0.04761904761904761,0.04081632653061222
2022-04-11,0.04761904761904762,0.04081632653061225
2022-04-12,0.035714285714285705,0.04081632653061227
2022-04-13,0.03571428571428572,0.040816326530612256
2022-04-14,0.023809523809523815,0.04081632653061222
2022-04-15,0.0238095238095238,0.04081632653061224
2022-04-16,0.011904761904761904,0.05442176870748302
2022-04-17,0.011904761904761897,0.05442176870748296
2022-04-18,0.023809523809523815,0.054421768707483026
2022-04-19,0.0238095238095238,0.0408163265306122
2022-04-20,0.023809523809523815,0.027210884353741534
2022-04-21,0.03571428571428572,0.027210884353741534
2022-04-22,0.0238095238095238,0.027210884353741492
2022-04-23,0.023809523809523822,0.027210884353741492
2022-04-24,0.023809523809523794,0.027210884353741503
2022-04-25,0.03571428571428572,0.027210884353741506
2022-04-26,0.047619047619047616,0.027210884353741492
2022-04-27,0.03571428571428573,0.02721088435374153
2022-04-28,0.03571428571428569,0.02721088435374147
2022-04-29,0.03571428571428573,0.0272108843537415
2022-04-30,0.035714285714285705,0.027210884353741513
2022-05-01,0.035714285714285726,0.02721088435374152
2022-05-02,0.035714285714285705,0.027210884353741496
2022-05-03,0.023809523809523822,0.027210884353741492
2022-05-04,0.035714285714285705,0.027210884353741506
2022-05-05,0.03571428571428572,0.027210884353741534
2022-05-06,0.035714285714285705,0.027210884353741492
2022-05-07,0.023809523809523815,0.02721088435374147
